ETA,Max Depth,Subsample,Colsample by Tree,B-cell Accuracy,Dendritic Accuracy,Macrophage Accuracy,Monocyte Accuracy,NK Accuracy,Platelet Accuracy,T-cell Accuracy,MAE
0.9,8,0.4,0.3,0.9948453608247423,1.0,0.9621621621621622,0.9859154929577465,0.9439834024896265,0.7916666666666666,0.9976155539251651,0.04625876585341293
0.4,5,0.7,0.7,0.9948453608247423,1.0,0.9621621621621622,0.9859154929577465,0.9543568464730291,0.7916666666666666,0.997982391782832,0.044724439876117295
0.2,7,0.4,0.4,0.9922680412371134,1.0,0.9351351351351351,0.9859154929577465,0.9377593360995851,0.7916666666666666,0.9983492296404989,0.05127229975189351
0.7,5,0.6,0.5,0.9974226804123711,1.0,0.9513513513513514,0.9859154929577465,0.9564315352697096,0.8333333333333334,0.9983492296404989,0.03959948243357003
0.6,5,0.8,0.1,0.9974226804123711,0.9459459459459459,0.9675675675675676,0.971830985915493,0.9543568464730291,0.8333333333333334,0.9972487160674982,0.04747056061210875
0.7,5,0.4,0.1,0.9948453608247423,0.9459459459459459,0.9459459459459459,0.971830985915493,0.9564315352697096,0.7916666666666666,0.9972487160674982,0.05658354905199958
0.3,7,0.6,0.6,0.9948453608247423,1.0,0.9675675675675676,0.9859154929577465,0.9522821576763485,0.8333333333333334,0.9977989728539985,0.03832244496946624
0.6,5,0.3,0.3,0.9974226804123711,1.0,0.9567567567567568,0.9894366197183099,0.9585062240663901,0.8333333333333334,0.9976155539251651,0.03813269025538202
0.8,6,1.0,0.7,0.9974226804123711,1.0,0.972972972972973,0.9929577464788732,0.9585062240663901,0.7916666666666666,0.9974321349963317,0.04129165348662778
0.4,8,0.7,0.1,0.9948453608247423,0.972972972972973,0.9567567567567568,0.9788732394366197,0.9398340248962656,0.8333333333333334,0.997982391782832,0.04648598857092523
0.2,6,0.6,0.7,0.9948453608247423,1.0,0.9567567567567568,0.9894366197183099,0.9481327800829875,0.7916666666666666,0.9981658107116654,0.04585657217698169
0.1,4,0.5,0.6,0.9948453608247423,1.0,0.9567567567567568,0.9823943661971831,0.8838174273858921,0.7916666666666666,0.9981658107116654,0.056050515922441924
0.9,6,0.7,0.6,0.9948453608247423,1.0,0.9405405405405406,0.9823943661971831,0.9564315352697096,0.8333333333333334,0.9976155539251651,0.042119901415618055
0.5,8,0.5,0.4,0.9948453608247423,1.0,0.9567567567567568,0.9964788732394366,0.9439834024896265,0.7916666666666666,0.9977989728539985,0.045495709595538836
0.3,6,0.3,0.5,0.9922680412371134,1.0,0.9459459459459459,0.9894366197183099,0.9377593360995851,0.8333333333333334,0.9981658107116654,0.04329870185057827
0.3,6,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572
0.5,7,0.4,0.3,0.9974226804123711,0.972972972972973,0.9567567567567568,0.9929577464788732,0.9481327800829875,0.7916666666666666,0.9970652971386648,0.04900358564152951
0.9,6,0.2,0.2,1.0,0.9459459459459459,0.9243243243243243,0.9929577464788732,0.9377593360995851,0.7916666666666666,0.9961482024944974,0.058742539712872355
0.5,7,0.6,0.4,0.9948453608247423,0.972972972972973,0.9675675675675676,0.9929577464788732,0.9626556016597511,0.8333333333333334,0.9976155539251651,0.03972169474822784
0.4,6,0.5,0.5,0.9948453608247423,1.0,0.9675675675675676,0.9894366197183099,0.9481327800829875,0.8333333333333334,0.997982391782832,0.03838599238431828
0.3,5,0.4,0.5,0.9948453608247423,1.0,0.9513513513513514,0.9929577464788732,0.9481327800829875,0.7916666666666666,0.9977989728539985,0.04617816024876853
0.5,7,0.7,0.2,1.0,1.0,0.9621621621621622,0.9788732394366197,0.9585062240663901,0.7916666666666666,0.9977989728539985,0.04442753354488027
0.4,7,0.8,0.7,0.9948453608247423,1.0,0.9567567567567568,0.9859154929577465,0.9564315352697096,0.7916666666666666,0.9974321349963317,0.045278864646863815
0.2,7,0.4,0.5,0.9922680412371134,1.0,0.9513513513513514,0.9929577464788732,0.9377593360995851,0.7916666666666666,0.9983492296404989,0.04794966121798727
0.4,6,0.8,0.6,0.9948453608247423,1.0,0.9675675675675676,0.9894366197183099,0.9585062240663901,0.7916666666666666,0.9976155539251651,0.04290885817587975
0.7,8,0.3,0.5,0.9948453608247423,1.0,0.9621621621621622,0.9894366197183099,0.9481327800829875,0.8333333333333334,0.997982391782832,0.03915819315651892
0.4,6,0.3,0.4,0.9948453608247423,1.0,0.972972972972973,0.9823943661971831,0.9377593360995851,0.8333333333333334,0.9981658107116654,0.04007554569435978
0.3,7,0.6,0.2,0.9974226804123711,1.0,0.9567567567567568,0.9859154929577465,0.946058091286307,0.7916666666666666,0.9977989728539985,0.046340191295164646
0.3,6,0.5,0.9,0.9948453608247423,1.0,0.9567567567567568,0.9929577464788732,0.9481327800829875,0.8333333333333334,0.9977989728539985,0.03945357852418685
0.3,6,0.5,0.6,0.9948453608247423,0.972972972972973,0.9675675675675676,0.9894366197183099,0.9481327800829875,0.7916666666666666,0.9983492296404989,0.04814697178946481
0.5,6,0.8,0.5,0.9948453608247423,1.0,0.9567567567567568,0.9894366197183099,0.9605809128630706,0.8333333333333334,0.997982391782832,0.038152089245850784
0.5,7,0.6,0.8,0.9974226804123711,1.0,0.972972972972973,0.9929577464788732,0.9439834024896265,0.8333333333333334,0.9981658107116654,0.03730915051445116
0.6,6,0.6,0.6,0.9974226804123711,1.0,0.9621621621621622,0.9894366197183099,0.9522821576763485,0.8333333333333334,0.9977989728539985,0.03822343912049664
0.2,6,0.9,0.5,0.9974226804123711,1.0,0.9621621621621622,0.9894366197183099,0.941908713692946,0.7916666666666666,0.9981658107116654,0.04560533523369692
0.3,6,0.4,0.4,0.9948453608247423,1.0,0.9513513513513514,0.9929577464788732,0.9439834024896265,0.8333333333333334,0.9977989728539985,0.040818547524010707
0.1,6,0.7,0.1,0.9922680412371134,0.972972972972973,0.9243243243243243,0.9753521126760564,0.8091286307053942,0.7916666666666666,0.9994497432134997,0.07640535831485307
0.2,7,0.5,0.8,0.9922680412371134,1.0,0.9513513513513514,0.9929577464788732,0.946058091286307,0.7916666666666666,0.9976155539251651,0.04686893557921756
0.5,7,0.8,0.7,0.9948453608247423,1.0,0.9621621621621622,0.9894366197183099,0.9585062240663901,0.7916666666666666,0.9977989728539985,0.04365485624396137
0.6,5,0.6,0.6,0.9948453608247423,1.0,0.972972972972973,0.9894366197183099,0.9543568464730291,0.8333333333333334,0.9974321349963317,0.036803247383040194
0.3,6,0.8,0.9,0.9948453608247423,1.0,0.9621621621621622,0.9894366197183099,0.9543568464730291,0.8333333333333334,0.9981658107116654,0.038242838110965516
0.4,6,0.6,0.2,0.9974226804123711,1.0,0.9405405405405406,0.9894366197183099,0.950207468879668,0.7916666666666666,0.9976155539251651,0.04758720997961119
0.7,7,0.3,0.7,0.9948453608247423,0.972972972972973,0.9405405405405406,0.9894366197183099,0.9481327800829875,0.7916666666666666,0.997982391782832,0.052060381058706695
0.3,6,0.6,0.7,0.9948453608247423,1.0,0.9567567567567568,0.9894366197183099,0.9398340248962656,0.8333333333333334,0.9981658107116654,0.041089727679846755
0.2,5,0.7,0.2,0.9974226804123711,1.0,0.9459459459459459,0.9859154929577465,0.921161825726141,0.7916666666666666,0.9987160674981658,0.051310188684708824
0.3,6,0.6,0.4,0.9948453608247423,1.0,0.9513513513513514,0.9964788732394366,0.946058091286307,0.8333333333333334,0.997982391782832,0.03999294259742825
0.6,6,0.7,0.6,0.9948453608247423,1.0,0.9567567567567568,0.9894366197183099,0.9605809128630706,0.8333333333333334,0.997982391782832,0.038152089245850784
0.4,6,0.6,0.6,0.9948453608247423,1.0,0.9675675675675676,0.9929577464788732,0.9522821576763485,0.7916666666666666,0.9977989728539985,0.043268789704543176
0.4,5,0.5,0.5,0.9948453608247423,1.0,0.9621621621621622,0.9929577464788732,0.9522821576763485,0.8333333333333334,0.9983492296404989,0.038010001412006056
0.2,6,0.5,0.7,0.9948453608247423,1.0,0.9513513513513514,0.9894366197183099,0.946058091286307,0.7916666666666666,0.997982391782832,0.046951359767112844
0.2,7,0.2,0.7,0.9922680412371134,0.972972972972973,0.9567567567567568,0.9929577464788732,0.9315352697095436,0.7916666666666666,0.997982391782832,0.051980022056462905
